polarity	sentence
1	Pou wiil adoreei o aplicativo, me visitem (: o nome do meu Pou é wiil !!
1	Legal Interessante jogo
1	Dou 5 estrelas! Muito bom.
1	Galaxy ace E otimo mais o dragao demora muito pra crecer
1	Muito legal,podem baixar galera sem medo.
-1	Max O grafico é ruim
1	Bom Jogo Bom para passar o tempo
1	muitoo boom pra quem gosta desse tipo de jogo, esse é ecelente
-1	Nao consigo Nao consigo instalar o jogo' ao abrir aparece uma mensagem assim, erro no servidor pedindo pra netrar num site lá' gente me ajudem me add no fcae pra gente falar robert_unknow@hotmail.com
1	Excelente Foi o melhor jogo de guerra q eu vi. Me add DKEQUC
1	Perfeito Roda perfeito no meu experia arc
1	Amei Adorei o jogo, vence pela sua simplicidade e diversao.
1	Legal Os jogos sso divertidos mas muito simples. Mesmo assim ainda é um bom passa tempo.
1	Ótimo jogo Mas precisa de um bom hardware. Perfeito no galaxy s ii
-1	Porra parece ser tão bom+ nao presta
1	Casttelo Muito bom recomendo
1	Execelente Muito bom esse jogo!!! Adoreei...recomendo.
1	Muito bom. Adoooro!
1	É bom Ótimo
-1	Péssimo Uma bosta
-1	Wil nossa demora demais para os jogadores se recuperarem e além disso recebo msg de que estão prontos e volto para o jogo não podendo jogar pq falta muito tempo ainda.... Por favor reparem isso....
1	Ótima aplicaçao
1	Muito bom Muito bom,  roda perfeito no sgs2.  Recomendo.
1	Mt bom, amei
1	Cons security O jogo e fenomenal
1	Muito loko adorei!!! Muito da hora!
1	Opa!!!! Da hora mesmo!!!
1	Galaxy mini Esse jogo e otimo
1	Sabrina Muito bom
1	Muito bom Nossaa esse -1ocio vicia
1	Muito bom A cada nova versão, o jogo vai evoluindo de um forma impressionante.
-1	Não instala N funciona
1	S3 muito bom jogo so nao sei pq trava tanto em um s3 Bom jogo   parece com monster vs alienienas
1	Ótimo Incrível
1	Excelente!!! Lembro dos Asphalt 1 e 2 dos falecidos Symbians, o jogo já era ótimo e só teve melhorias até hoje! Nota 10!
