polarity	sentence
1	Uma boa pedida para quem curte crônicas curtas, que tratam de coisas do cotidiano com bom humor, inteligência e deixa um gostinho de "quero mais".
1	Um ótimo livro, além de ser um alerta para uma potencial distopia; em contraponto, a utopia tão sonhada dos homens do medievo e início da modernidade.
-1	O livro não é ruim, mas Jorge Amado parece subestimar a inteligência de o leitor a o fazer de uma história interessante um panfleto político.
1	De qualquer forma, mesmo com estes poréns, a leitura vale a pena.
1	Eu adorei esse livro quando li, foi um conselho de um garoto que é escritor eu conheci em a internet, foi ótimo. 
-1	Não é bem uma resenha, mais um aviso para não darem Capitães da Areia para uma criança de 14 anos ler.
-1	Em função de a idade, eu detestei. 
1	O legado de a obra incide em a majestosa visão humana que nos é transferida.
1	Um livro comovente, sensual e intrigante. 
1	O mais bonito de o livro está em a percepção de que não há maniqueísmo em os personagens.
1	História intrigante que prende a atenção e surpreende a cada página.
1	A heroína acaba conquistando a simpatia de o leitor, que torce por ela de o começo a o fim.
1	Em a minha opinião é o melhor livro de Sidney Sheldon.
-1	História clichê, recheada de coisas impossíveis até em o mundo de o maravilhoso, escrita péssima, personagens mal-construídos e alienados. 
-1	Personagens secundários que não se desenvolvem nunca, metáforas cansativas e totalmente sem nexo. 
-1	Intenso, romantico, inesperado, brilhante, apaixonante, sexy!
1	Eu li e recomendo para " todos ".
-1	Acho que este livro não merece nem mesmo uma estrela.
-1	Fui até a metade, mas não consegui prosseguir ... Achei muito parado. 
1	Ambos interessantes para quem gosta de romance fantástico.
1	Em o final, me envolvi, me vi vendo tudo que os personagens não viam. 
1	Impossível não gostar.
1	O livro tem uma ótima linguagem e aborda temas que nos levam a uma reflexão, sobre o nosso comportamento em uma sociedade cada vez mais hipócrita em que a ética e os bons costumes estão cada vez mais sendo esquecidos. 
1	Não é a melhor obra de o grande Sidney Sheldon, mas recomendo, uma boa leitura pra passar o tempo.
1	Acho que o leitor (uso meu exemplo) se realiza através de Tracy, imaginando como faria para se vingar de um mundo injusto e ganhar com isso.
1	O melhor de tudo, é que a protagonista conta suas histórias de forma divertida, irônica algumas vezes, revoltada com os micos que sua mãe lhe fez pagar em outras, mas acima de tudo mostra como essa relação de mãe-e-filha, apesar de difícil, deve ser bem cuidada
1	Queria que terminasse logo, gostei mais de a mãe de ela durante uma boa parte de o livro.
-1	Embora o livro seja legal, não gosto de a literatura de a Thalita Rebouças, acho que os livros de ela deveriam ser menos engraçados e mais interessantes, pois um livro tem que te prender, aí que é bom mesmo.
1	A escrita de Doyle é bem detalhada e cheia de nuances e sutilezas estilísticas que tornam a leitura um pouco exigente às vezes, contudo, o mistério que circunda o caso não nos deixa parar de ler até sua conclusão
-1	 Esteticamente lindo, como sempre a editora Darkside capricha em suas publicações, mas como leitura mesmo, que é o que vale, achei decepcionante.
1	Ele é muito bem escrito e as descrições são detalhadas mas não são cansativas, construindo com destreza o cenário e sentimentos necessários para viver a historia.
-1	O começo do livro foi bom, não vou mentir, talvez as primeiras 80/90 páginas tenham sido legais, mas depois ele começa a enrolar muito, com vários capítulos só pra encher linguiça.
-1	De um modo geral gostei da história, só pelo fato de ser melhor do que "O Demonologista" já está valendo, e o final é bem condizente com a história, mas em muitas passagens é bem cansativo e da uma preguicinha de voltar a ler.
1	Correndo o risco de ser interpretada equivocadamente como defensora da obra, quero acrescentar que O Código Da Vinci foi um dos mais bem estruturados mistérios de ficção que já li.
-1	É muito longo e muito chato. Descrições extensas, algumas bem desnecessárias e tudo termina muito magicamente.
1	O que mais me agradou em Terra Sonâmbula com certeza foi a linguagem poética que Mia Couto utilizou para escrever histórias em meio a guerra civil de Moçambique. Posso dizer que esse livro é imensamente bonito e imensuravelmente triste.
1	Mia Couto consegue através de sua rica e fantasiosa maneira de escrever nos transportar para um universo repleto de contos e crenças da cultura africana ao passo em que desenrola uma história cativante e que nos traz reflexões e ideias a cada nuance .
1	A leitura é rápida, poucos balões mas muitas expressões as pouco mais de 200 páginas passam voando mesmo ficando tempos em tempos admirando as artes que são belissimas.
1	Uma forma bonita de passar uma boa lição, onde não se consegue fugir de algumas coisas na vida. Esse quadrinho mostra isso de forma ousada, discreta e bastante impactante, com pontos sutis dentro da história.
-1	No entanto, é na história que a obra peca. Primeiramente, nos diversos clichês. Talvez tenha sido a intenção do autor, mas, para mim, não foi possível absorver as ideias com um mínimo de naturalidade.
-1	Os momentos são, sim, bem imprevisíveis, temos umas sacadas bem interessantes, mas o sentimentalismo enfiado não cai legal.
1	Ao ouvir que "O cortiço" de Aluísio Azevedo é a maior representante no naturalismo brasileiro, não duvide. Excelente leitura, atraente, chocante a cada capítulo.
